regionid,regionname,state,city,metro,countyname,value_2016
403299,Streeterville,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,444933.09
403300,River North,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,391649.25
403301,Old Town,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,350360.09
403302,Cabrini Green,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,
403303,Gold Coast,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,422418
403304,Old Town Triangle,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,324515.16
403305,Ranch Triangle,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,647599.06
403306,Sheffield Neighbors,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,863381
403307,Wrightwood Neighbors,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,628749.19
403309,West De Paul,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,701365.69
403310,Noble Square,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,449249.41
403311,East Ukrainian Village,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,494217.34
403312,Ukrainian Village,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,445323.16
403313,Fulton River District,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,419887
403315,Kelvin Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,267929.5
403317,Belmont Gardens,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,267724.66
403318,West Humboldt Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,135798
403319,Fifth City,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,157120.33
403320,Greektown,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,511904.25
403321,Tri-Taylor,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,211499.08
403322,West Loop Gate,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,336095.34
403323,North Austin,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,183252.67
403324,Hanson Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,201641.67
403325,Galewood,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,254402.92
403326,The Island,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,189750.75
403327,Homan Square,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,106751.66
403329,Heart of Italy,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,220297.92
403330,Heart of Chicago,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,249394
403331,East Pilsen,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,300472.75
403333,Vittum Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,204976
403334,LeClaire Courts,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,146369.58
403335,Sleepy Hollow,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,184687
403336,Chrysler Village,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,151713.33
403338,Ford City,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,78672.086
403339,Lithuanian Plaza,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,127541.91
403340,Canaryville,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,229479.92
403342,New Eastside,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,514759.75
403343,Printers Row,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,254487.42
403344,Dearborn Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,380616.66
403345,South Commons,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,103361.75
403346,The Gap,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,320969.75
403347,Stateway Gardens,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,
403348,Groveland Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,
403349,Ida B. Wells - Darrow Homes,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,
403351,North Kenwood,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,255246.33
403353,West Woodlawn,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,94454.586
403354,Jackson Park Highlands,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,399190.66
403356,Park Manor,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,113797.16
403357,West Chatham,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,156395.58
403358,Marynook,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,201708
403359,The Bush,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,39757.75
403360,East Chatham,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,70370.586
403361,West Chesterfield,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,112348.25
403362,Princeton Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,131741.92
403363,Pill Hill,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,146582.25
403365,Parkview,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,165983.08
403366,Marycrest,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,228738
403367,Scottsdale,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,185020.75
403368,Beverly View,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,191870.17
403369,Mount Greenwood Heights,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,269660.09
403371,Kennedy Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,216678.83
403372,Beverly Woods,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,222370.25
403373,West Morgan Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,253747.25
403374,West Beverly,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,244976.5
403375,East Beverly,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,227234.58
403376,Longwood Manor,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,140977.08
403377,Fernwood,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,73933.336
403378,Brainerd,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,143361.33
403379,Rosemoor,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,114097.34
403380,Golden Gate,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,50012.668
403383,Cottage Grove Heights,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,112397.09
403560,Douglas Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,140697
764020,West Village,IL,Evanston,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,354010.59
